# Media Audit Report

Generated at: 2026-03-12T10:43:53.221494+00:00

Read-only audit scope:
- SELECT queries only against Postgres.
- HTTP HEAD and GET probes only against Supabase Storage.
- No DB writes, no storage writes, no signed-url POSTs.

## SUMMARY

- total media objects: 834
- total media assets: 140
- total lesson media rows: 819
- total storage objects: 780
- missing files: 321 unique objects / 545 DB rows
- mime mismatches: 0
- 0 byte files: 0
- tiny files (<100 bytes): 39
- missing byte_size rows: 3
- invalid buckets: 0
- unsupported formats: 2
- orphaned files (storage without DB): 11
- DB references missing in storage: 545
- orphaned storage GB: 0.489
- DB-missing storage GB: 2.434
- total GB of garbage: 2.923
- orphaned vs valid storage: 1.41% orphaned / 98.59% referenced
- not-ready media_assets: 23

## WHY FILES APPEAR "UNSUPPORTED"

- image/webp is not in the supported playback set (2)
- Private buckets are validated with authenticated HEAD/GET requests. Signed URL POST generation was intentionally avoided to preserve read-only semantics.
- lesson_media.media_asset_id being null is often a legacy/object-backed row, not automatically a corruption case. (727)

## RELATION DIAGNOSTICS

- missing media_asset relations: 0
- missing media_object relations: 0
- lesson_media.media_asset_id null: 727
- missing course cover relations: 0
- unresolvable lesson_media rows: 0

## BROKEN MEDIA

| media_id | storage_path | bucket | reason | source_table |
| cf021f1d-396c-4c72-8f18-2842cca6496f | 835cb790-c971-4401-9b0f-b3bcf0358b8e/c836a652-b36c-4677-8f74-97fae6657520/audio/d9d0c918472247c6a73ab197412b2ce7.mp3 | course-media | DB reference missing in storage.objects | app.media_objects |
| a2a76cee-da70-44d8-972f-7a1e7b303f94 | 2e905247-d58a-4869-8d1e-2bc17fb545ba/9b35626b-edcc-4471-938e-3431cce6b72b/audio/738d9555ccac4c51a034287b58623127.mp3 | public-media | DB reference missing in storage.objects | app.media_objects |
| 967fceb1-5c9a-4fa5-a0af-b9bd561ccce2 | 61fd67c1-e674-4d5c-9c56-2503f64d5a45/33893e59-7cc6-4797-bea1-b9358e1c8240/audio/4f6f6dd06d754f928c011f19a6cde586.mp3 | course-media | DB reference missing in storage.objects | app.media_objects |
| cff1b0ad-2432-4fc5-ae0f-a4eb39e2a31d | 61fd67c1-e674-4d5c-9c56-2503f64d5a45/33893e59-7cc6-4797-bea1-b9358e1c8240/audio/6e1a61c1bc6549b1acc8741c29f72fc7.mp3 | course-media | DB reference missing in storage.objects | app.media_objects |
| 04c7732c-e4a7-4d46-9422-5061c5066b18 | 61fd67c1-e674-4d5c-9c56-2503f64d5a45/9f8d8f17-f486-4465-a343-e3be2292f1bd/audio/6afdcdb579d443d486d5edc0200389a5.mp3 | course-media | DB reference missing in storage.objects | app.media_objects |
| 4a29eca2-6789-45fe-84db-20770e4f7600 | 61fd67c1-e674-4d5c-9c56-2503f64d5a45/063b6ad2-3fbc-4a20-a1fc-a0828aaf5694/audio/819ad1889dfd4fc28de60a95aba022e3.mp3 | course-media | DB reference missing in storage.objects | app.media_objects |
| 9e428124-8419-4577-87d8-93103d74ab44 | c55dcdd1-858f-4067-8865-fece7cd18fe2/ba6cdfaa-6687-4c2e-ae70-4cb723887c33/audio/65ff6b005c9e4ed1b041dda7f2534bf5.mp3 | course-media | DB reference missing in storage.objects | app.media_objects |
| 541fed31-ea66-4397-832a-e5e0f7a6eca1 | c55dcdd1-858f-4067-8865-fece7cd18fe2/4512488e-3fcd-4a83-b94d-84d05806b43f/audio/b14e9860aa1040dcafe7a76bbce02f7b.m4a | course-media | DB reference missing in storage.objects | app.media_objects |
| 856552e7-cf60-4407-8677-7d4acb87537a | be6de80a-36ef-44f6-a92b-c5255b89d24e/d83c46c7-1f5c-45d7-830c-e2cde39d8146/audio/51f16a9459ff490f91364eb21b35ed05.mp3 | course-media | DB reference missing in storage.objects | app.media_objects |
| b1a72153-a720-47af-8211-fbdd615c0f68 | be6de80a-36ef-44f6-a92b-c5255b89d24e/4a23ef8f-5877-4285-b97a-f0ee8a44e9f1/audio/6a9c07f4c11443569c49f37c3a3b0c7b.mp3 | course-media | DB reference missing in storage.objects | app.media_objects |
